tmpl_xid,attribute,value
tmpl_000OH_0000,Size,M
tmpl_000OH_0000,Size,S
tmpl_000OH_0000,Size,XS
tmpl_000OQ_0000,Size,OS
tmpl_000OR_0000,Size,OS
tmpl_000RM_0002,Size,L
tmpl_000RM_0002,Size,M
tmpl_000RM_0002,Size,S
tmpl_000RM_0002,Size,XS
tmpl_000RY_0000,Size,2XL
tmpl_000RY_0000,Size,3XL
tmpl_000RY_0000,Size,L
tmpl_000RY_0000,Size,M
tmpl_000RY_0000,Size,S
tmpl_000RY_0000,Size,XL
tmpl_000RY_0000,Size,XS
tmpl_000RY_0000,Size,XXL
tmpl_000RY_0000,Size,XXS
tmpl_000RY_0001,Size,L
tmpl_000RY_0001,Size,M
tmpl_000RY_0001,Size,S
tmpl_000RY_0001,Size,XL
tmpl_000RY_0001,Size,XS
tmpl_000RY_0001,Size,XXL
tmpl_000RY_0002,Size,2XL
tmpl_000RY_0002,Size,3XL
tmpl_000RY_0002,Size,L
tmpl_000RY_0002,Size,M
tmpl_000RY_0002,Size,S
tmpl_000RY_0002,Size,XL
tmpl_000RY_0002,Size,XS
tmpl_000RY_0002,Size,XXL
tmpl_000RY_0002,Size,XXS
tmpl_000RY_0003,Size,L
tmpl_000RY_0003,Size,M
tmpl_000RY_0003,Size,S
tmpl_000RY_0003,Size,XL
tmpl_000RY_0003,Size,XS
tmpl_000RY_0003,Size,XXL
tmpl_000RY_0004,Size,L
tmpl_000RY_0004,Size,M
tmpl_000RY_0004,Size,S
tmpl_000RY_0004,Size,XL
tmpl_000RY_0004,Size,XS
tmpl_000RY_0004,Size,XXL
tmpl_000RY_0007,Size,L
tmpl_000RY_0007,Size,M
tmpl_000RY_0007,Size,S
tmpl_000RY_0007,Size,XL
tmpl_000RY_0007,Size,XS
tmpl_000RY_0007,Size,XXL
tmpl_000RZ_0000,Size,28
tmpl_000RZ_0000,Size,29
tmpl_000RZ_0000,Size,30
tmpl_000RZ_0000,Size,31
tmpl_000RZ_0000,Size,32
tmpl_000RZ_0000,Size,33
tmpl_000RZ_0000,Size,34
tmpl_000RZ_0000,Size,36
tmpl_000RZ_0000,Size,38
tmpl_000RZ_0000,Inseam,32
tmpl_000RZ_0000,Inseam,34
tmpl_000UG_0002,Size,L
tmpl_000UG_0002,Size,M
tmpl_000UG_0002,Size,S
tmpl_000UG_0002,Size,XL
tmpl_000UG_0002,Size,XS
tmpl_000UG_0002,Size,XXS
tmpl_000YB_0001,Size,28
tmpl_000YB_0001,Size,29
tmpl_000YB_0001,Size,30
tmpl_000YB_0001,Size,31
tmpl_000YB_0001,Size,32
tmpl_000YB_0001,Size,33
tmpl_000YB_0001,Size,34
tmpl_000YB_0001,Size,36
tmpl_000YB_0001,Size,38
tmpl_000YB_0001,Size,40
tmpl_000YB_0001,Size,42
tmpl_000YB_0001,Size,44
tmpl_000YB_0001,Inseam,10
tmpl_000YB_0002,Size,24
tmpl_000YB_0002,Size,25
tmpl_000YB_0002,Size,26
tmpl_000YB_0002,Size,27
tmpl_000YB_0002,Size,28
tmpl_000YB_0002,Size,29
tmpl_000YB_0002,Size,30
tmpl_000YB_0002,Size,31
tmpl_000YB_0002,Size,32
